Race,DNF
Bahrain,1
Saudi Arabian,5
Australian,3
Emilia Romagna,2
Miami,3
Spanish,2
Monaco,3
Azerbaijan,4
Canadian,3
British,6
Austrian,3
French,4
Hungarian,0
Belgian,2
Dutch,2
Italian,4
Singapore,6
Japanese,2
United States,3
Mexico City,1
São Paulo,3
Abu Dhabi,1
