Race,DNF
Bahrain,2
Emilia Romagna,3
Portuguese,1
Spanish,1
Monaco,1
Azerbaijan,4
French,0
Styrian,2
Austrian,1
British,2
Hungarian,6
Belgian,0
Dutch,2
Italian,4
Russian,1
Turkish,0
United States,3
Mexico City,2
São Paulo,2
Qatar,2
Saudi Arabian,5
Abu Dhabi,4
