Race,DNF
Austrian,7
Styrian,3
Hungarian,1
British,2
Spanish,1
Belgian,2
Italian,4
Tuscan,8
Russian,2
Eifel,5
Portuguese,1
Emilia Romagna,5
Turkish,3
Bahrain,2
Sakhir,3
Abu Dhabi,1
