Race,DNF
Australian,5
Malaysian,7
Chinese,1
Turkish,1
Spanish,3
Monaco,5
Canadian,6
European,0
British,5
German,4
Hungarian,4
Belgian,5
Italian,8
Singapore,3
Japanese,1
Korean,3
Indian,5
Abu Dhabi,4
Brazilian,4
