Race,DNF
Australian,7
Chinese,5
Bahrain,6
Russian,3
Spanish,4
Monaco,5
Canadian,4
Azerbaijan,6
Austrian,4
British,3
Hungarian,3
Belgian,3
Italian,2
Singapore,8
Malaysian,2
Japanese,5
United States,4
Mexican,5
Brazilian,4
Abu Dhabi,2
