Race,DNF
Australian,5
Bahrain,3
Chinese,0
Azerbaijan,7
Spanish,6
Monaco,3
Canadian,3
French,3
Austrian,5
British,6
German,4
Hungarian,3
Belgian,5
Italian,3
Singapore,1
Russian,2
Japanese,3
United States,4
Mexican,4
Brazilian,2
Abu Dhabi,5
