Race,DNF
Australian,5
Bahrain,3
Chinese,0
Russian,4
Spanish,5
Monaco,7
Canadian,3
European,4
Austrian,2
British,5
Hungarian,1
German,2
Belgian,5
Italian,4
Singapore,3
Malaysian,6
Japanese,0
United States,4
Mexican,1
Brazilian,5
Abu Dhabi,5
